,up_bytes_mean,up_bytes_median,up_bytes_std,up_bytes_var,up_bytes_skew,up_bytes_kurt,up_bytes_perc25,up_bytes_perc50,up_bytes_perc75,up_bytes_perc90,up_bytes_silences,up_bytes_silence_mean,up_bytes_longest_silence,up_bytes_shortest_silence,up_packet_mean,up_packet_median,up_packet_std,up_packet_var,up_packet_skew,up_packet_kurt,up_packet_perc25,up_packet_perc50,up_packet_perc75,up_packet_perc90,up_packet_silence_mean,up_bytes_1max_y,up_bytes_2max_y,up_bytes_3max_y,up_bytes_4max_y,up_bytes_5max_y,up_bytes_1max_x,up_bytes_2max_x,up_bytes_3max_x,up_bytes_4max_x,up_bytes_5max_x,up_bytes_1min_y,up_bytes_2min_y,up_bytes_3min_y,up_bytes_4min_y,up_bytes_5min_y,up_bytes_1min_x,up_bytes_2min_x,up_bytes_3min_x,up_bytes_4min_x,up_bytes_5min_x,up_packet_1max_y,up_packet_2max_y,up_packet_3max_y,up_packet_4max_y,up_packet_5max_y,up_packet_1max_x,up_packet_2max_x,up_packet_3max_x,up_packet_4max_x,up_packet_5max_x,up_packet_1min_y,up_packet_2min_y,up_packet_2min_y,up_packet_4min_y,up_packet_5min_y,up_packet_1min_x,up_packet_2min_x,up_packet_3min_x,up_packet_4min_x,up_packet_5min_x,down_bytes_mean,down_bytes_median,down_bytes_std,down_bytes_var,down_bytes_skew,down_bytes_kurt,down_bytes_perc25,down_bytes_perc50,down_bytes_perc75,down_bytes_perc90,down_bytes_silences,down_bytes_silence_mean,down_bytes_longest_silence,down_bytes_shortest_silence,down_packet_mean,down_packet_median,down_packet_std,down_packet_var,down_packet_skew,down_packet_kurt,down_packet_perc25,down_packet_perc50,down_packet_perc75,down_packet_perc90,down_packet_silence_mean,down_packet_longest_silence,down_packet_shortest_silence,down_bytes_1max_y,down_bytes_2max_y,down_bytes_3max_y,down_bytes_4max_y,down_bytes_5max_y,down_bytes_1max_x,down_bytes_2max_x,down_bytes_3max_x,down_bytes_4max_x,down_bytes_5max_x,down_bytes_1min_y,down_bytes_2min_y,down_bytes_3min_y,down_bytes_4min_y,down_bytes_5min_y,down_bytes_1min_x,down_bytes_2min_x,down_bytes_3min_x,down_bytes_4min_x,down_bytes_5min_x,down_packet_1max_y,down_packet_2max_y,down_packet_3max_y,down_packet_4max_y,down_packet_5max_y,down_packet_1max_x,down_packet_2max_x,down_packet_3max_x,down_packet_4max_x,down_packet_5max_x,down_packet_1min_y,down_packet_2min_y,down_packet_2min_y,down_packet_4min_y,down_packet_5min_y,down_packet_1min_x,down_packet_2min_x,down_packet_3min_x,down_packet_4min_x,down_packet_5min_x,label
0,8324.551724137931,1901.0,14939.25631853115,223181379.3507729,2.3489773739058237,4.090421664697581,90.0,1901.0,6556.0,21714.39999999998,6.0,1.0,1.0,1.0,128.41379310344828,23.0,272.33505191107054,74166.38049940548,2.5335898251130593,4.70079098092319,1.0,23.0,87.0,265.9999999999995,1.0,0.020536229053063747,0.0010256496945394988,-1.0,-1.0,-1.0,10.374716437208077,2.1692367244266184,-1.0,-1.0,-1.0,0.013346256781630265,0.000480304361517621,-1.0,-1.0,-1.0,12.073315420747383,2.7828487515438525,-1.0,-1.0,-1.0,0.01954539241729899,0.013108674997536573,0.0010939174371196827,-1.0,-1.0,10.374716437208077,8.043439208902422,2.1342808013536474,-1.0,-1.0,0.012280955400904407,0.013007514796014306,0.00035986754628474437,-1.0,-1.0,12.138872329585718,8.445161426884457,2.7232180412764495,-1.0,-1.0,1269915.1724137932,377662.0,2410483.16035257,5810429066343.314,2.38218017956039,4.15167919482097,60.0,377662.0,867322.0,2888710.1999999955,6.0,1.0,1.0,1.0,158.06896551724137,29.0,315.5328204180966,99560.96076099882,2.4873787191975887,4.6236031227783405,1.0,29.0,118.0,341.1999999999994,1.0,1.0,1.0,0.02039003969930358,0.013868700515936116,0.0013664257576817653,-1.0,-1.0,10.374716437208077,8.087114288413604,2.145869735051951,-1.0,-1.0,0.01271911793446875,0.013775515458357061,0.0003253965999643226,-1.0,-1.0,12.138872329585718,8.491017818314097,2.7979593450766225,-1.0,-1.0,0.019703311890099374,0.013148599084879354,0.00099202656245471,-1.0,-1.0,10.374716437208077,8.087114288413604,2.145869735051951,-1.0,-1.0,0.01249026558679167,0.013073503593222185,0.00034414851274098174,-1.0,-1.0,12.138872329585718,8.445161426884457,2.7232180412764495,-1.0,-1.0,twitch
1,2944.766666666667,3193.5,2925.6834607014857,8559623.712222222,0.3341719648048878,-1.170183798056405,54.0,3193.5,5426.75,5829.200000000001,6.0,1.0,1.0,1.0,33.46666666666667,31.5,32.633043921086426,1064.9155555555558,0.17041837473366728,-1.7206087167725923,1.0,31.5,63.5,74.30000000000001,1.0,0.011451535833535904,0.017716015873327055,0.006272141344802386,0.008385408095308225,0.010948254969614091,10.097578803154006,7.8710848929327035,4.021719604451211,3.134939279931106,2.3400875393665004,0.004998675997098777,0.011315781742979774,0.005258869805326937,0.006269832830456896,0.008086843347321675,12.607846760863092,9.617253851621625,5.780723227908187,3.9355424464663518,2.8747519948979647,0.009905115786613343,0.012037867294782094,0.014915909201260246,-1.0,-1.0,10.207534227171136,7.913824105551804,4.154536407845515,-1.0,-1.0,0.004747531673973793,0.009282934296973713,0.0035726076395225207,-1.0,-1.0,12.472035201902695,9.30979887022062,5.7495039897959295,-1.0,-1.0,318125.1,297094.5,323132.40919147985,104414553869.88997,0.133690307704255,-1.7528294511399896,60.0,297094.5,601242.25,616123.7999999999,6.0,1.0,1.0,1.0,49.666666666666664,46.5,48.62258277339404,2364.155555555555,0.14206931344827195,-1.7506619277247675,1.0,46.5,92.0,109.10000000000001,1.0,1.0,1.0,0.003871843995224426,0.009735818489779767,0.0214144557924,-1.0,-1.0,10.374716437208077,5.076203828766933,2.551883556792784,-1.0,-1.0,0.0030069163146356583,0.003395776234937182,0.006596191730742551,-1.0,-1.0,11.87876132698202,9.209513839623861,3.768688358064669,-1.0,-1.0,0.014710863889198325,0.013707568671627417,0.016681727120821454,-1.0,-1.0,10.262960128630226,3.186284302684534,2.4173686472531632,-1.0,-1.0,0.00015187537933296908,0.001995104025701867,0.013706259234611967,-1.0,-1.0,14.831833000667084,6.036657710373691,3.134939279931106,-1.0,-1.0,twitch
2,3134.3,3060.0,3250.7091754466956,10567110.143333334,1.0560907243492756,1.6196714329431812,0.0,3060.0,5633.0,6016.2,10.0,1.0,1.0,1.0,34.233333333333334,31.5,33.1367704454667,1098.0455555555554,0.14627700311918368,-1.7615297061131003,0.0,31.5,71.0,76.1,1.0,0.011367514458683522,0.012758322150350573,0.013527582997522818,-1.0,-1.0,10.374716437208077,6.236017600951348,3.9355424464663518,-1.0,-1.0,0.006007422055690158,0.006884411309864775,0.007569523840713074,-1.0,-1.0,12.337686603263526,8.264199032169827,4.994403908756819,-1.0,-1.0,0.003697358592106832,0.02394726045538631,0.024380857313508426,-1.0,-1.0,6.102392602978154,3.789151963173931,2.277577269513383,-1.0,-1.0,0.0005718273852256368,0.0027215323100952997,0.013236764819498138,-1.0,-1.0,9.209513839623861,5.215525060767743,2.9536522918789987,-1.0,-1.0,287747.9,304541.0,270174.91462203395,72994484491.02333,0.02033240955909773,-1.8305883181806106,0.0,304541.0,576156.75,605382.6,12.0,1.0,1.0,1.0,42.93333333333333,35.5,41.71325395549424,1739.995555555556,0.13874360889102477,-1.7737339361032303,0.0,35.5,86.0,94.1,1.0,1.0,1.0,0.004947613115731411,0.007145950756170914,0.02828343606629332,-1.0,-1.0,10.318686987253326,5.446436082552899,2.3527939833005624,-1.0,-1.0,0.0007844967052542035,0.0030353310193504813,0.005383150858772386,-1.0,-1.0,13.454342644059432,8.131026519287625,4.45754697038357,-1.0,-1.0,0.0043188077766912174,0.020043435456268136,0.025243663008537018,-1.0,-1.0,10.374716437208077,3.830413122794295,2.2408755048192135,-1.0,-1.0,0.0024512332062136986,0.000815818739971335,0.011539054521001674,-1.0,-1.0,12.337686603263526,7.786297670316933,2.969690331745505,-1.0,-1.0,twitch
3,2906.2580645161293,236.0,2987.5246196069315,8925303.352757541,0.10099066406271545,-1.9394492507266388,0.0,236.0,5857.5,6389.0,10.0,1.0,1.0,1.0,37.32258064516129,4.0,38.52136993575601,1483.8959417273672,0.1494775179842071,-1.8626952293708052,0.0,4.0,74.0,85.0,1.0,0.012212825119312258,0.011731014702412446,0.010438866281577617,-1.0,-1.0,7.537376716129338,4.481751009638427,2.9377008666739637,-1.0,-1.0,0.0015946370662156292,0.009875058642305212,0.010341961765120202,-1.0,-1.0,10.431050121535486,5.505743883018121,3.2209806638985086,-1.0,-1.0,0.015178195861722291,0.011486884483384283,0.010538521049206773,-1.0,-1.0,7.6194533672706966,4.177095129709655,2.738004845949181,-1.0,-1.0,0.0006214727682807028,0.007570818091577199,0.009672316382610064,-1.0,-1.0,10.487689692198115,5.387767144931783,3.151961690215773,-1.0,-1.0,291364.51612903224,244.0,301464.3796700742,90880772209.86264,0.076535607367959,-1.9774322169606,0.0,244.0,601076.0,608360.0,10.0,1.0,1.0,1.0,45.54838709677419,3.0,47.01189877499952,2210.1186264308017,0.12577432837500077,-1.9014172896700585,0.0,3.0,92.5,99.0,1.0,1.0,1.0,0.004616410819169284,0.008204660161718957,0.016771134025988236,-1.0,-1.0,10.262960128630226,7.4966705364412,3.8931488351584664,-1.0,-1.0,0.002979673586967552,0.004454529045851533,0.008110509009268116,-1.0,-1.0,12.138872329585718,9.565315136318619,6.987069544796676,-1.0,-1.0,0.017087095248751228,0.013632420667324738,0.010733449421755073,-1.0,-1.0,7.7024237745445,3.8931488351584664,2.767819763927664,-1.0,-1.0,0.0007377950652615067,0.008375619008390494,0.010429377478273053,-1.0,-1.0,13.237534141249554,5.505743883018121,3.0183288551868457,-1.0,-1.0,twitch
4,3260.3333333333335,3173.0,3383.727228302476,11449609.955555554,0.9710150410551052,1.2456445079099092,13.5,3173.0,5754.5,6075.800000000001,8.0,1.0,1.0,1.0,36.46666666666667,26.0,36.27279360010137,1315.7155555555553,0.09821256797894097,-1.8775813176772764,0.25,26.0,73.25,79.1,1.0,0.010167364516707774,0.01101338155476283,0.01105919179989782,0.00937787765429662,-1.0,10.318686987253326,7.6194533672706966,6.303923380431546,3.9142882483508004,-1.0,0.006146234565009497,0.008571734660030394,0.010824753438584384,0.008741292402085106,-1.0,12.204785205956307,9.110309078053533,7.025008641493198,4.530554078394877,-1.0,0.012871613402162257,0.008715048518623569,0.018750145736208715,-1.0,-1.0,10.318686987253326,5.215525060767743,2.5936791093020193,-1.0,-1.0,0.0023567569289163173,0.003991564810467587,0.007063352894063579,-1.0,-1.0,13.309412642613891,6.58302191261586,4.555154539026766,-1.0,-1.0,300050.63333333336,286067.5,300183.38748155086,90110066119.8989,0.004717951555203752,-1.993762522055816,15.0,286067.5,598539.0,616322.2,8.0,1.0,1.0,1.0,46.86666666666667,42.0,46.29667614658985,2143.382222222222,0.044012467128300835,-1.937324414746112,0.25,42.0,92.5,100.4,1.0,1.0,1.0,0.003944313649983093,0.008109131754602431,0.019674904098814932,-1.0,-1.0,10.262960128630226,5.159343493626663,2.3527939833005624,-1.0,-1.0,0.0016770274014421612,0.0037678090486076236,0.00807214814992697,-1.0,-1.0,12.607846760863092,9.513656920021768,4.8347372945063265,-1.0,-1.0,0.004394613683507645,0.009877485598931984,0.02143444013771558,-1.0,-1.0,10.60189314527793,4.043557144206802,2.6077625303838716,-1.0,-1.0,0.004175622824532201,0.002279160272015434,0.009261347689215965,-1.0,-1.0,11.43690670713576,7.375866275834504,3.57003322263787,-1.0,-1.0,twitch
5,2956.633333333333,2438.5,2975.07073846806,8851045.898888888,0.06710123260963002,-1.9033829116918546,0.0,2438.5,5768.0,6347.9,11.0,1.0,1.0,1.0,37.06666666666667,28.5,37.32106941423601,1392.8622222222223,0.08063569326650336,-1.893513490320746,0.0,28.5,73.5,83.1,1.0,0.0014877282646522795,0.018873086830295004,0.019140023436369016,-1.0,-1.0,10.318686987253326,4.940604255747734,2.3023784599059653,-1.0,-1.0,0.0008580900975443218,0.0011688095973756915,0.010703298549701961,-1.0,-1.0,12.271055982727647,8.91509394076714,3.1690765305049875,-1.0,-1.0,0.0023560583938246555,0.018209577554215255,0.015025382442104678,-1.0,-1.0,10.262960128630226,5.076203828766933,2.4173686472531632,-1.0,-1.0,0.0012479633954320302,0.0022893418552633583,0.010132015813726102,-1.0,-1.0,12.472035201902695,9.669474589012653,3.493534772398338,-1.0,-1.0,299532.5,281840.5,299485.2646812249,89691423761.18333,0.003089356372059679,-1.9959869518213926,0.0,281840.5,598693.0,611398.6,11.0,1.0,1.0,1.0,45.766666666666666,34.0,46.3743343767745,2150.5788888888887,0.10804376570813637,-1.8572336719830738,0.0,34.0,90.0,100.5,1.0,1.0,1.0,0.007373879670018905,0.019447310802482482,-1.0,-1.0,-1.0,7.7024237745445,2.3527939833005624,-1.0,-1.0,-1.0,0.0010639665375165692,0.0047375858161172344,-1.0,-1.0,-1.0,12.337686603263526,6.168843301631763,-1.0,-1.0,-1.0,0.005026622697916455,0.022097179049689757,0.01240876870873289,-1.0,-1.0,7.6194533672706966,5.103767113585568,2.551883556792784,-1.0,-1.0,0.00035824126006094666,0.0047483062801903465,0.01111630442726219,-1.0,-1.0,12.814342045461547,6.949335341094825,3.067763995681912,-1.0,-1.0,twitch
6,3289.3548387096776,2061.0,3269.6631428387045,10690697.067637876,0.7815377158763781,0.39951183907053744,0.0,2061.0,5633.0,6225.0,9.0,1.0,1.0,1.0,35.16129032258065,5.0,35.5827946591386,1266.1352757544223,0.11855155180106945,-1.9129806031758323,0.0,5.0,70.5,78.0,1.0,0.004851929669283694,0.01911189969431009,-1.0,-1.0,-1.0,10.431050121535486,4.315043191028479,-1.0,-1.0,-1.0,0.0035737158734740347,0.0016879133744261286,-1.0,-1.0,-1.0,12.008112557011405,8.043439208902422,-1.0,-1.0,-1.0,0.001910986579191326,0.021526942149327325,0.015696382777915956,-1.0,-1.0,7.828576496701601,5.131480064315113,3.186284302684534,-1.0,-1.0,0.0014962365453323365,0.0016689282877985624,0.012206000460030881,-1.0,-1.0,9.159777155454433,7.025008641493198,3.830413122794295,-1.0,-1.0,291260.9032258064,512.0,300887.9934676534,90533584612.99065,0.06795759492998375,-1.9907785621033902,0.0,512.0,601969.5,606506.0,9.0,1.0,1.0,1.0,44.12903225806452,5.0,45.366423519321465,2058.1123829344438,0.16795225390506768,-1.8349266286260288,0.0,5.0,90.0,99.0,1.0,1.0,1.0,0.013656959048407599,0.007800581214392079,0.010907824973399914,0.007526792257729041,-1.0,10.318686987253326,5.159343493626663,3.8931488351584664,2.4173686472531632,-1.0,0.006217285569959146,0.006887322942822809,0.007769973260982726,0.00702827511655091,-1.0,12.539757119724424,6.303923380431546,4.91392214442748,2.813151987638031,-1.0,0.0016992170097621822,0.003087103454374745,0.026963053655702156,-1.0,-1.0,10.659460376665292,7.6194533672706966,3.8721235869845887,-1.0,-1.0,0.0016915849584326706,0.0015869900096156496,0.0029244065338253663,-1.0,-1.0,11.071279055710656,9.617253851621625,6.949335341094825,-1.0,-1.0,twitch
7,2992.451612903226,3186.0,1820.362669266399,3313720.247658689,0.672456967838617,0.22569877443790265,1559.5,3186.0,3958.0,5270.0,1.0,1.0,1.0,1.0,36.193548387096776,14.0,35.140656863927624,1234.8657648283038,0.2937363460805803,-1.5677793617955145,4.0,14.0,66.5,81.0,1.0,0.009965883190760586,0.010470236623647149,0.009417223728979766,0.006301461733759678,0.007337957186876595,10.374716437208077,7.828576496701601,5.300946572638965,3.2209806638985086,2.2899442888636083,0.007807234927203919,0.008677034677477668,0.007978246279021203,0.004043920781268445,0.005985669504842381,11.87876132698202,9.110309078053533,6.303923380431546,3.9783976939345327,2.8747519948979647,0.010916374392981891,0.011172007540487092,0.007868984539510545,0.007982807912944836,0.007695647817756601,10.318686987253326,7.956795387869065,5.048789401577003,3.956912052775902,2.510761514049382,0.007950795213567854,0.009428041206247881,0.0040413966252964995,0.007414531241222081,0.006692159732508766,11.943261826330119,9.110309078053533,6.20233951074,4.530554078394877,3.067763995681912,281998.7419354839,11254.0,286467.28742399614,82063506764.06242,0.08572115114648982,-1.9660357977474632,9821.5,11254.0,580396.5,596343.0,1.0,1.0,1.0,1.0,45.645161290322584,13.0,44.71598428728185,1999.519250780437,0.21489310929797678,-1.7512392184577437,4.0,13.0,89.0,101.0,1.0,1.0,1.0,0.0121070111572325,0.010783491829435896,0.009850080631050086,-1.0,-1.0,10.374716437208077,5.358670096213212,3.8931488351584664,-1.0,-1.0,0.006720261186247766,0.005824081580747377,0.008483904033665538,-1.0,-1.0,12.337686603263526,7.578303926347862,4.506086474432967,-1.0,-1.0,0.009666493870140899,0.008150150023319416,0.00879271991161823,0.006661061465094757,-1.0,10.544636810128512,4.8873841318910305,3.830413122794295,2.2899442888636083,-1.0,0.00915230031629819,0.002134191973533278,0.008087867372548598,0.005417485102899855,-1.0,11.43690670713576,6.727171322029716,4.604756919811931,2.664865094166323,-1.0,twitch
8,3397.2580645161293,3078.0,1900.1475828546877,3610560.8366285125,2.816130916757466,11.085993097929055,2366.0,3078.0,3888.0,4387.0,1.0,1.0,1.0,1.0,38.03225806451613,20.0,30.71143936393035,943.1925078043705,0.16316502040448436,-1.6862155555147242,7.0,20.0,67.5,75.0,1.0,0.015283407205066483,0.017735755458673924,0.005028466181042046,-1.0,-1.0,10.318686987253326,6.069436164792859,2.327449717555155,-1.0,-1.0,0.005689274635305542,0.00539416699020678,0.00470766340946805,-1.0,-1.0,12.745137210738136,7.913824105551804,2.679335048106606,-1.0,-1.0,0.008878369836516607,0.017123802775704397,0.012462964070597115,-1.0,-1.0,10.318686987253326,6.102392602978154,2.8903616139540933,-1.0,-1.0,0.004410174900843506,0.0054779854956872685,0.004145053142096657,-1.0,-1.0,12.472035201902695,8.30907281569103,4.043557144206802,-1.0,-1.0,283359.48387096776,72551.0,264881.71853548946,70162324814.31427,0.11149454273861548,-1.9093984211095045,23217.0,72551.0,571601.5,585030.0,1.0,1.0,1.0,1.0,47.29032258064516,20.0,39.953354696556396,1596.2705515088448,0.1432763269501829,-1.7802946055555375,7.0,20.0,85.0,93.0,1.0,1.0,1.0,0.008772848707944854,0.012103530682495842,0.014517541359030973,0.010921375018805456,0.011313066351342872,10.207534227171136,7.8710848929327035,4.731138843937364,3.3273531606534728,2.1342808013536474,0.0012295866323286308,0.008271138553328049,0.004713366579157802,0.009709557182916998,0.007468234580688566,13.454342644059432,9.41117593320225,6.269878559862212,3.830413122794295,2.6077625303838716,0.016389388832128468,0.009231746568108443,0.007400562561821113,0.005197042067006561,-1.0,10.318686987253326,5.215525060767743,2.9377008666739637,2.1810154653305154,-1.0,0.00577356931181357,0.00876184355761891,0.006001029406289222,0.005060348534204161,-1.0,12.745137210738136,6.102392602978154,3.707958250166771,2.3527939833005624,-1.0,twitch
9,2878.9032258064517,2987.0,1828.8578377322704,3344720.9906347557,0.4666984641907651,0.3088814831574025,1342.5,2987.0,3527.0,4632.0,3.0,1.0,1.0,1.0,32.38709677419355,27.0,23.392413188832965,547.2049947970864,0.16497113044024675,-1.3320205788257793,15.0,27.0,53.5,66.0,1.0,0.008599757088911147,0.009551841062388778,0.023520716891852304,0.006672857141960985,-1.0,10.318686987253326,6.236017600951348,3.5507529850530424,2.1810154653305154,-1.0,0.0023434784427169386,0.004401811503559231,0.005052184080629987,0.005830417525450039,-1.0,12.95388108155891,8.0,5.048789401577003,2.483715624146968,-1.0,0.004669180244610605,0.02965616259434608,0.014565052139970149,-1.0,-1.0,6.512109687429391,3.5894181500062143,2.1112903567211143,-1.0,-1.0,0.0010577176332958666,0.0031193520577859624,0.007205493454376194,-1.0,-1.0,11.624223966792421,5.300946572638965,2.5936791093020193,-1.0,-1.0,279562.8064516129,101709.0,278985.8688462518,77833115015.89803,0.8630487138309565,0.16011643355467076,35427.0,101709.0,477048.0,535365.0,3.0,1.0,1.0,1.0,43.516129032258064,33.0,34.230594660654965,1171.7336108220604,0.3159142708760805,-1.2849475327337483,15.0,33.0,76.5,88.0,1.0,1.0,1.0,0.004532202033792349,0.0316200112650617,0.010811612052222693,-1.0,-1.0,6.269878559862212,3.512504320746599,2.1810154653305154,-1.0,-1.0,0.0008259338514623335,0.002716213350087515,0.008597890697878991,-1.0,-1.0,9.774768263782061,5.243844846099058,2.5243947007885015,-1.0,-1.0,0.004465278489763609,0.03209080311161615,0.01613160972781389,-1.0,-1.0,6.269878559862212,3.5894181500062143,2.1342808013536474,-1.0,-1.0,0.00030001331248959997,0.0028365363362887444,0.008460640975340822,-1.0,-1.0,11.375140817353325,5.272318405064256,2.621922423049529,-1.0,-1.0,twitch
